InvID	Code	Description	Web_Code	Web_Desc	Groups	Manufacturer	Model	Year	Control	Price	Location	Condition	Adv_Spec	Sold	Off_Market	Create_Rep	dont_advertise	Special	feat_order
31119	G8507	GRINDERS, TOOL & CUTTER, NC/CNC	781	Grinders, CNC	Grinders, Lappers & Hones	Anca	TX-7+	2005		$0.00		Good	5-Axis, 12" swing, 15.75" centers, 8" Grinding Wheeel, 49 hp, 10000 rpm, Loader	0	0	JSL	0	0	
30877	B6200A	BORING MILLS, VERTICAL & VTL, CNC W/ATC	141	Vertical Boring Mills, VTL, VBM, CNC	Boring Mills & VTL	Bullard	Dyna-Tape 56" HC	Remfg	Fanuc 21i-TB/crt	$0.00		Good	Fanuc 21i-TB, 56" Chuck, 68" swing, 85" under rail, 320 rpm, 75 hp, Ram head, 16 atc, 71" Ram Stroke	0	0	JSL	0	0	
31087	L2150	LATHES, CNC, UNIVERSAL	884	CNC Lathes	CNC Lathes, Turning Centers, Machining Centers	Dawoo	Puma 300LC	2004	Fanuc 21i-TB/crt	$0.00			23" swing, 50" centers, 4.53" bore, 2800 rpm, 35 hp, 10 pos turret, 12" chuck, Tailstock, Chip Conv, Tool eye	0	0	JSL	0	0	
31147	L2150	LATHES, CNC, UNIVERSAL	884	CNC Lathes	CNC Lathes, Turning Centers, Machining Centers	DN Solutions	Lynx 2100A	2023	Fanuc 0i-TF-Plus CNC/crt	$0.00		Good	23.6" Swing, 13" Centers, 2.4" Bore, 6000 rpm, 20 hp, 12 pos turret, 6" Chuck, Bar Puller, Collet Chk system, Parts Catcher, Tailstock, only 250 hours	0	0	JSL	0	0	
31068	L21256MS	LATHES, CNC, Y-Axis, ATC W/MILLING & SUB-SPINDLE	886	CNC Lathes, 3-Axis or More	CNC Lathes, Turning Centers, Machining Centers	Doosan	MX-2500ST	2006	Fanuc 18i-TB/crt	$0.00		See note	9-Axis, 29.5" swing, 2.99" bore, 5000 rpm, 35 hp, 40 ATC, Pendulum Style B-Axis Head, 12 pos turret, Sub-Spindle, 10"/8" chucks main/sub spdls, Y-axis, Tool eye, Chip conv, Parts conveyor	0	0	JSL	0	0	
31154	L2150	LATHES, CNC, UNIVERSAL	884	CNC Lathes	CNC Lathes, Turning Centers, Machining Centers	Doosan	Puma 5100LC	2023	Fanuc Series i/crt	$0.00			26" Turn Dia, 82" Centers, 10.78" Spindle bore, 1000 rpm, 60 hp, 10 pos turret, X-14" Z-85", Tailstock, under 1000 hours	0	0	JSL	0	0	
31167	L2150M	LATHES, CNC, 2-AXIS UNIVERSAL W/MILLING	890	CNC Lathes, 3-Axis or More	CNC Lathes, Turning Centers, Machining Centers	Doosan	Puma 800LM	2015	Fanuc Series 32i-B CNC Control	$0.00		Good	40" swing, 35" turn dia, 126" centers, 12.6" Bore, 750 RPM, 60 hp, 12 pos turret, Live Tooling, Steady Rest, Tailstock, Chip Conv, 32" Chuck	0	0	JSL	0	0	
31155	L2150M	LATHES, CNC, 2-AXIS UNIVERSAL W/MILLING	890	CNC Lathes, 3-Axis or More	CNC Lathes, Turning Centers, Machining Centers	Doosan	Puma DNT 2600LM	2023	Fanuc 0i-Plus with iHMI	$0.00		Good	15" Cutting Diamter, 40.6" Centers, 3.23" Spindle Bore, 3500 rpm, 35 hp, 12 pos turret, Live tooling, Tailstock, 10" chuck	0	0	JSL	0	0	
31137	M0185	MACHINING CENTERS, VERTICAL, CNC	956	CNC Machining Centers, Vertical	CNC Lathes, Turning Centers, Machining Centers	Fanuc-Robodrill	Alpha-D21LiA5	2015	Fanuc 31i-B5/crt	$0.00		Good	27.58" x 15.37" Table, X-27.56" Y-15.76" Z-13", 24000 RPM, 19 HP, 21 ATC, Midaco 2-Pallet Changer System, Renishaw Probing, Rigid Tapping	0	0	JSL	0	0	
31139	M0185	MACHINING CENTERS, VERTICAL, CNC	956	CNC Machining Centers, Vertical	CNC Lathes, Turning Centers, Machining Centers	Fryer	MB-16R	2019	Seimens 828D CNC Control	$0.00		like new	70" x 18" table, X-60" Y-25" Z-24", 8000 rpm, 12 hp, 12 ATC	0	0	JSL	0	0	
31158	P8915	IRONWORKERS	1368	Ironworkers	Fabricating	Geka	Hydracrop 110 AD	2012		$0.00		Good	120 tom, 6" x 6" x 1/2" Angle Cap., 12 hp, 3.15" stroke, 28 SPM, 24" throat, 5 stations	0	0	JSL	0	0	
31001	M0130	MACHINING CENTERS, HORIZONTAL CNC	952	CNC Machining Centers, Horizontal	CNC Lathes, Turning Centers, Machining Centers	Haas	EC-1600	2013	Haas CNC/CRT	$0.00		Good	X-64" Y-50" Z-32", 6000 rpm, 40 hp, 50 Taper, 30 ATC, 30" Built-in 4th-Axis Rotary, WIPS, HSM, 5th-Axis Drive and Wiring, IPS, Thru Spindle Coolant, Aux Coolant Filter Sys, Pcool, RJH, 750  MB Ext Memory	0	0	JSL	0	0	
31089	M0185	MACHINING CENTERS, VERTICAL, CNC	956	CNC Machining Centers, Vertical	CNC Lathes, Turning Centers, Machining Centers	Haas	Mini Mill	2023	Haas CNC/CRT	$0.00		As new	X-16" Y-12" Z-10", 6000 rpm, 40 taper, 10 atc, WIPS Probing, Auger, CPK, Window Blast, Work Light, 1GB, Rigid Tap,	0	0	JSL	0	0	
31172	L2150	LATHES, CNC, UNIVERSAL	884	CNC Lathes	CNC Lathes, Turning Centers, Machining Centers	Haas	SL-20TB	2010	Haas CNC/CRT	$0.00		Good	23" swg, 20" centers, 3" Bore, 3400 RPM, 30 hp, 10 pos turret, 10" chk, Tailstock, Chip Conveyor, Big Bore Spindle	0	0	JSL	0	0	
31175	L2150	LATHES, CNC, UNIVERSAL	884	CNC Lathes	CNC Lathes, Turning Centers, Machining Centers	Haas	ST-10	2016	Haas CNC/CRT	$0.00		Good	16.5" swg, 16" centers, 2.3" bore, 15 hp, 6000 rpm, 12 pos turret, 6" chk, tailstock, tool presetter	0	0	JSL	0	0	
31102	L2125	LATHES, CNC, CHUCKER	884	CNC Lathes	CNC Lathes, Turning Centers, Machining Centers	Haas	ST-10	2022	Haas CNC/CRT	$0.00		Good	16.5" swing, 12" cut dia., 16" cut length, 2.31" bore, 6000 rpm, 15 hp, 12 pos turret, Tool Presetter, Chip conv.	0	0	JSL	0	0	
31082	L2150	LATHES, CNC, UNIVERSAL	884	CNC Lathes	CNC Lathes, Turning Centers, Machining Centers	Haas	ST-30	2012	Haas CNC/CRT	$0.00		Good	31.8" swg, 30" centers, 3.5" bore, 30 hp, 3400 rpm, 12 pos turret, 10" chk, Tool Presetter, Gearbox, Chip conv. HiL, Tailstock	0	0	JSL	0	0	
31132	L2150	LATHES, CNC, UNIVERSAL	884	CNC Lathes	CNC Lathes, Turning Centers, Machining Centers	Haas	ST-35	2017	Haas CNC/CRT	$0.00		Good	31.7" Swing, 26" centers, 4.62" bore, 40 hp, 2400 rpm, Gearbox, 12" chk, 12 pos turret, ATP, Parts Catcher, Chip Conv, Tailstock, HiL	0	0	JSL	0	1	
31166	L2150	LATHES, CNC, UNIVERSAL	884	CNC Lathes	CNC Lathes, Turning Centers, Machining Centers	Haas	TL-3	2004	Haas CNC/CRT	$0.00		Good	20" swing, 13" Swg/cross slide, 60" centers, 3.5" bore, 1800 rpm, 18 hp, 12" Chuck, Tailstock, Quick Change Tool Post, Coolant	0	0	JSL	0	0	
31163	M0185	MACHINING CENTERS, VERTICAL, CNC	956	CNC Machining Centers, Vertical	CNC Lathes, Turning Centers, Machining Centers	Haas	TM-1	2006	Haas CNC/CRT	$0.00		Good	X-30" Y-12" Z-16", 4000 RPM, 7.5 hp, 10 atc, 40 taper, Coolant system, 4th-Axis ready, single or 3 phase.	0	0	JSL	0	0	
31168	M0185	MACHINING CENTERS, VERTICAL, CNC	956	CNC Machining Centers, Vertical	CNC Lathes, Turning Centers, Machining Centers	Haas	TM-2P	2016	Haas CNC/CRT	$0.00		Good	X-40" Y-16" Z-16", 6000 rpm, 7.5 hp, 10 atc, 4th axis reday, Pcool	0	0	JSL	0	0	
31160	T0130	TABLES or TRUNNIONS, ROTARY, N/C & CNC	1630	Rotary Tables	Tables	Haas	TR-160 5-Axis Trunnion	2012		$0.00		As new	5-axis Trunnion, 6.3" Platter Dia, Never Used, Brand New	0	0	JSL	0	0	
31165	M0185	MACHINING CENTERS, VERTICAL, CNC	956	CNC Machining Centers, Vertical	CNC Lathes, Turning Centers, Machining Centers	Haas	VF-3B	2008	Haas CNC/CRT	$0.00		Good	X-40" Y-20" Z-25", 20 hp, 7500 rpm, 24 side mount ATC, 4th-Axis Ready, Chip Auger, Probing System, Pcool, gearbox, HSM	0	0	JSL	0	0	
31146	M0185	MACHINING CENTERS, VERTICAL, CNC	956	CNC Machining Centers, Vertical	CNC Lathes, Turning Centers, Machining Centers	Haas	VF-3SSYT	2021	Haas CNC/CRT	$0.00		Good	X-40" Y-26" Z-25", 30 hp, 40 Taper, 15000 rpm, 30+1 SM-ATC, 4th-Axis rotary table, WIPS Probing, HSM, 1774 hours	0	0	JSL	0	0	
