id	invid	specid	groupnames	description	specvalues	ewid	equippedwith	groupnameew
1	30684	87394	Travels:	X-Axis Travel	20 "			
2	30684	87395		Y-Axis Travel	36 "			
3	30684	87396		Z-Axis Travel	16 "			
4	30877	90283	Capacity:	Table Diameter	56 "			
5	30877	90284		Maximum Swing	68 "			
6	30877	90285		Maximum Height Under Rail	85 "			
7	30877	90286	Spindle:	Spindle Speed: Minimum	2 rpm			
8	30877	90287		                       Maximum	320 rpm			
9	30877	90288		Motor	75 hp			
10	30877	90289	Ram Head	X-Axis (Longitudinal) Travel	- "			
11	30877	90290		Z-Axis (Veritcal) Travel	71 "			
12	30877	90291	Tool Changer:	Number of Positions	16 atc			
13	30965	91674	Table:	Width	40 "			
14	30965	91675		Length	94.5 "			
15	30965	91676		Maximum Table Load	6600 lbs			
16	30965	91677	Travels:	X-Axis Travel	84.6 "			
17	30965	91678		Y-Axis Travel	39.3 "			
18	30965	91679		Z-Axis Travel	31.5 "			
19	30965	91682	Spindle:	Spindle Speed: Minimum (RPM)	0 rpm			
20	30965	91683		                       Maximum	6000 rpm			
21	30965	91684		Spindle Taper	50 			
22	30965	91685		Main Motor (HP)	25 hp			
23	30965	91686	Tool Changer:	Tool Changer Positions	30 atc			
24	31001	92246	Table/Pallet:	Width	36 "			
25	31001	92247		Length	64 "			
26	31001	92248		Number of Table/Pallet(s)	1 			
27	31001	92250		Maximum Load	10,000 lbs			
28	31001	92251	Travels:	X-Axis Travel	64 "			
29	31001	92252		Y-Axis Travel	50 "			
30	31001	92253		Z-Axis Travel	32 "			
31	31001	92254	Spindle:	Spindle Speed: Minimum (RPM)	0 rpm			
32	31001	92255		                       Maximum	6000 rpm			
33	31001	92256		Spindle Taper	50 			
34	31001	92257		Main Motor (HP)	40 hp			
35	31001	92258	Tool Changer:	Tool Changer Positions	30 atc			
36	31031	92703	Table:	Width	12 "			
37	31031	92704		Length	50 "			
38	31031	92705		Load	1500 Lbs.			
39	31031	92706	Travels:	X-Axis (Longitudinal)	30 "			
40	31031	92707		Y-Axis (Cross)	15 "			
41	31031	92708		Z-Axis (Vertical)	Quill 5 "			
42	31031	92709		Knee	16 "			
43	31031	92710	Spindle:	Speeds	60 - 4000 RPM			
44	31031	92711		Taper	R8 			
45	31031	92712		Motor	5 HP			
46	31044	92886	Capacity:	Swing	39.1 "			
47	31044	92888		Maximum Machining Diameter	35.4 "			
48	31044	92889		Distance Between Centers	78.7 "			
49	31044	92890	Spindle:	Spindle Speed: Minimum (RPM)	0 rpm			
50	31044	92891		                       Maximum	700 rpm			
51	31044	92892		Spindle Bore	10.8 "			
52	31044	92893		Main Motor	60 hp			
53	31044	92894		Spindle Nose	A2-20 			
54	31044	92895	Turret:	Number Of Positions	12 			
55	31044	92896		X-Axis Travel	19.1 "			
56	31044	92897		Z-Axis Travel	84.6 "			
57	31044	92898	Tailstock:	Quill Diameter	5.9 "			
58	31044	92901		Body Travel	82.7 "			
59	31044	92902	Chuck:	Diameter	32 "			
60	31044	92903		Hole Thru	10.8 "			
61	31044	92904		Number of Jaws	4 			
62	31068	93284	Capacity:	Swing	29.5 "			
63	31068	93286		Maximum Machining Diameter	9.84 "			
64	31068	93287		Maximum Machining Length	40.2 "			
65	31068	93288	Main Spindle:	Spindle Speed: Minimum (RPM)	0 rpm			
66	31068	93289		                       Maximum	5000 rpm			
67	31068	93290		Spindle Bore	2.99 "			
68	31068	93291		Spindle Nose	A2-8 			
69	31068	93292		Main Motor (HP)	35 hp			
70	31068	93293	Sub-Spindle:	Maximum Spindle Speed	5000 rpm			
71	31068	93296	Tool Changer:	Number Of Positions	40 ATC 			
72	31068	93297		X-Axis Travel	21.9 "			
73	31068	93298		Y-Axis Travel	6.3 "			
74	31068	93299		Z-Axis Travel	43.1 "			
75	31068	93300	Live Tooling:	Maximum Speed	10000 rpm			
76	31068	93302		C-Axis Indexing: Main Spindle	0.001 °			
77	31068	93304	Main Chuck:	Diameter	10 "			
78	31068	93305		Hole Thru	2.6 "			
79	31068	93306		Number of Jaws	3 			
80	31068	93307	Sub Chuck:	Diameter	8 "			
81	31071	93336	Table:	Width	24 "			
82	31071	93337		Length	50 "			
83	31071	93338		Maximum Table Load	3000 lbs			
84	31071	93339	Travels:	X-Axis Travel	42 "			
85	31071	93340		Y-Axis Travel	24 "			
86	31071	93341		Z-Axis Travel	24 "			
87	31071	93342		Spindle Nose to Table Top Minimum	6 "			
88	31071	93343		                                           Maximum	30 "			
89	31071	93344	Spindle:	Spindle Speed: Minimum (RPM)	0 rpm			
90	31071	93345		                       Maximum	10000 rpm			
91	31071	93346		Spindle Taper	40 			
92	31071	93347		Main Motor (HP)	24 hp			
93	31071	93348	Tool Changer:	Tool Changer Positions	24 atc			
94	31072	93349	Capacity:	Swing	30 "			
95	31072	93350		Swing Over Cross Slide	20.5 "			
96	31072	93352		Distance Between Centers	120 "			
97	31072	93353	Spindle:	Spindle Speed: Minimum (RPM)	5 rpm			
98	31072	93354		                       Maximum	300 rpm			
99	31072	93355		Spindle Bore	12.5 "			
100	31072	93356		Main Motor	20 hp			
101	31072	93358	Turret:	Number Of Positions	8 			
102	31072	93361	Tailstock:	Quill Diameter	5.125 "			
103	31072	93362		Quill Travel	11.75 "			
104	31072	93363		Taper	6 MT			
105	31082	93551	Capacity:	Swing	31.7 "			
